Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",66,"0 Coles Road, Cleveland Town, Pulikeshi Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",832,558,1239
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",67,"creative elegance, 2nd A Cross, Vyalikaval HBCS Layout, Nagavara, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2121,1555,2891
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",68,"SRI NILAYAM #574, 15th Main Road, 5th Block, Telecom Layout, HBR Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1764,1212,2565
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",69,"800 2nd Cross Road, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1628,1145,2314
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",70,"MM Buildings, Kammanahalli Main Road, Ramaswamipalya, Lingarajapuram, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1342,924,1947
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",71,"300 3rd Cross Road, Indra Nagar, Kacharakanahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1621,1114,2356
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",72,"0 5th Cross Road, Vinobha Nagar, Kadugondanahalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1695,1205,2383
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",73,"0 Lokesh Tent Main Road, Lingarajapura Village, Lingarajapuram, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1335,929,1917
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",74,"Saijothi, 1st Cross Road, D Costa Layout, Cooke Town, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1121,785,1599
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",75,"Oxford Spires, Rustum Bagh Main Road, Rustam Bagh Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",913,622,1338
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",76,"0 1st Cross Road, Sadanandanagar, Bennigana Halli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1263,856,1861
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",77,"C6/10, C6/10, 1st Phase, C V Raman Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1291,870,1915
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",78,"Lalit Residency, 1st Cross Street, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1150,783,1687
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",79,"Saint Johns Church Cemetry Road, Kalhalli, Ulsoor, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",828,533,1284
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",80,"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",791,508,1230
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",81,"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",829,553,1242
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",82,"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",380,173,830
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",83,"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1295,897,1867
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",84,"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",885,557,1405
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",85,"Kensington Road, Ulsoor, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",351,136,900
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",86,"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",601,366,986
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",87,"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",812,498,1323
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",88,"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",737,452,1201
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",331,166,656
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",90,"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",691,446,1070
